comment_text,cleaned_comment,Label
"Donald Trump, in his own inimitable fashion, issues an order to Iran to  open the Straits of Hormuz and expects them to drop what they are doing and accede to his demand. Priceless. He still operates on the basis of 'Be reasonable, do it my wsy"".  Trump diplomacy at ts finest. Then he wonders why it doesn't work. Operation Epic Fury  is like Trump himself - a disaster.
😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮",donald trump in his own inimitable fashion issues an order to iran to  open the straits of hormuz and expects them to drop what they are doing and accede to his demand priceless he still operates on the basis of be reasonable do it my wsy  trump diplomacy at ts finest then he wonders why it doesnt work operation epic fury  is like trump himself  a disaster,2
"Or what? Keep attacking as they have been doing?... US and Israel are killing civilians, what do you expect Iran to do? The lack of intelligence is unsettling.",or what? keep attacking as they have been doing? us and israel are killing civilians what do you expect iran to do? the lack of intelligence is unsettling,1
Trump is just making thing worst for us .,trump is just making thing worst for us,2
Can we just deport Trump to Iran,can we just deport trump to iran,1
Pl,pl,0
"God bless America, keep going Pres Trump pray for the solier courage and presrverance!",god bless america keep going pres trump pray for the solier courage and presrverance!,2
"Why target Iran's power plants instead of hitting the devils behind this disaster—the regime's KNOWN top criminal leadership, which, intentionally, with a few exceptions, has remained untouched since day one!",why target irans power plants instead of hitting the devils behind this disasterthe regimes known top criminal leadership which intentionally with a few exceptions has remained untouched since day one!,2
"One thing we are asking for Mr. President, also provide defense for US assets, soldiers in that region, allies etc as you plan these offensive actions. Iran still shows it can cause damage. Let’s face reality here.",one thing we are asking for mr president also provide defense for us assets soldiers in that region allies etc as you plan these offensive actions iran still shows it can cause damage lets face reality here,1
Blah blah blah.,blah blah blah,0
He is obviously bored of the winning! Gets exhausting all this winning.,he is obviously bored of the winning! gets exhausting all this winning,1
Lets bring back brandon,lets bring back brandon,2
"right, he'll stick to a deadline he threats.   OK TACO, just like Tariffs.  Agent Orange needs to go, I'm NO SHEEP",right hell stick to a deadline he threats   ok taco just like tariffs  agent orange needs to go im no sheep,1
Eh Whats up Doc ???? Thos is the bery bery last warning we need them to make a deal even though they are all dead and everything is blown up. Get a grip mouthpieces of the satanist republic.,eh whats up doc ???? thos is the bery bery last warning we need them to make a deal even though they are all dead and everything is blown up get a grip mouthpieces of the satanist republic,1
"Yall Just Said The Major Problem And EVIL Sickness 
ISLAMIC That Evil False Prophet 
Mohamed Really Really An l Do Mean Really Pulled The Wool Over Those People's Eyes Many Many Years Ago And We No Matter How Many Bombs We Drop Can't Bring Them To The Light For They Must Look Within Themselves For The Light and Yes The Light Still Burns Within Them The Only Problem is Getting Them To Look Into Themselves And Follow It instead of The Devil Leading Them Around With a Hook In Their Jaw !!!!!!! They Have The Strength To Beat The Devil And Mohammed's Lies If They Only Will !!!!! ✝️🙏🙏🏿🙏🏻","yall just said the major problem and evil sickness 
islamic that evil false prophet 
mohamed really really an l do mean really pulled the wool over those peoples eyes many many years ago and we no matter how many bombs we drop cant bring them to the light for they must look within themselves for the light and yes the light still burns within them the only problem is getting them to look into themselves and follow it instead of the devil leading them around with a hook in their jaw !!!!!!! they have the strength to beat the devil and mohammeds lies if they only will !!!!!",1
What a joke 😂,what a joke,0
Could trump do the world a favor and find the nearest balcony…,could trump do the world a favor and find the nearest balcony,1
Lets just give them 48 hours to surrender completely or we completly bomb them into the stone age...,lets just give them 48 hours to surrender completely or we completly bomb them into the stone age,1
"Yeah, and Iran doesn't give a flying Fook
F D J T the vile, disgusting, imbecilic GD kiddie-diddling peee dough file peeeg","yeah and iran doesnt give a flying fook
f d j t the vile disgusting imbecilic gd kiddiediddling peee dough file peeeg",1
He is NOT making Merikan Kristians Safe😂😂😂😂😂😂😂😂😂,he is not making merikan kristians safe,1
The Straits of Hormuz will not be the only gauntlet Trump would have run in his life.,the straits of hormuz will not be the only gauntlet trump would have run in his life,1
"It's important to understand that in 48 hours, the price of a barrel of oil will be $148. 

Coded language for stock market investors!

Thank you président !","its important to understand that in 48 hours the price of a barrel of oil will be 148 

coded language for stock market investors!

thank you président !",1
Phuktrumpdumborangebich,phuktrumpdumborangebich,0
"Here's a prediction. Israel will continue to be a habitual line stepper and take the next, irreversible step. Trump will say he wasn't aware.",heres a prediction israel will continue to be a habitual line stepper and take the next irreversible step trump will say he wasnt aware,1
It wong lower oil prices itll drive them hire. The strait is irans Trump card. excuse the pun,it wong lower oil prices itll drive them hire the strait is irans trump card excuse the pun,1
The u.s. only imports 3%from them.  The bigger problem is donny is hurting our number '1' ally in Japan.  They import 90% from that area.,the us only imports 3from them  the bigger problem is donny is hurting our number 1 ally in japan  they import 90 from that area,1
This ain’t apprentice,this aint apprentice,0
And I demand as a global citizen that Trump is locked up immediately in a lunatic asylum.,and i demand as a global citizen that trump is locked up immediately in a lunatic asylum,1
2 weeks,2 weeks,0
"""Trump demands.....""

😴😴😴😴😴",trump demands,0
🤔? I'm MAGA STUPID AND IGNORANT. Didnt you MR LIAR said the straight of Hormuz would open itself? Then why are you threatening Iran to open what will open itself. YOUR A BALD FACE LIAR,? im maga stupid and ignorant didnt you mr liar said the straight of hormuz would open itself? then why are you threatening iran to open what will open itself your a bald face liar,1
"Let me tell you the end game, Gulf states now know for sure that US cannot provide them security and it's actually a burden. This will bring in China as a replacement",let me tell you the end game gulf states now know for sure that us cannot provide them security and its actually a burden this will bring in china as a replacement,1
"Netanyahu's dog, he is has evidence against Trump, that's why Trump does what he wants.",netanyahus dog he is has evidence against trump thats why trump does what he wants,1
That’s 1 way of saying it,thats 1 way of saying it,0
"Or what, he is going to commit war crimes by destroying the electrical grid of Iran in the same way as Putin in Ukraine?",or what he is going to commit war crimes by destroying the electrical grid of iran in the same way as putin in ukraine?,1
Remember the 2021 New York Times article where Trump was showing journalists secret plans to manufacture a crisis in Iran? That would be in the stolen documents case which judge Aileen Cannon conveniently sealed for reasons unknown,remember the 2021 new york times article where trump was showing journalists secret plans to manufacture a crisis in iran? that would be in the stolen documents case which judge aileen cannon conveniently sealed for reasons unknown,1
Fox News do biased.  People should stay away from this channel,fox news do biased  people should stay away from this channel,1
He should've asked Satanyahu first,he shouldve asked satanyahu first,1
Pure Day One 🐂💩.VOTE REPUBLICANS OUT OF OFFICE!,pure day one vote republicans out of office!,1
The war only started because we have become a puppet of the AIPAC and Netanyahu.,the war only started because we have become a puppet of the aipac and netanyahu,2
What a clown!!!,what a clown!!!,0
Trump literally doesn’t hold his deadlines… ever. What is that girl talking about?,trump literally doesnt hold his deadlines ever what is that girl talking about?,1
Trump making money while giving governmental information is a criminal act.Grifters got to grift.WAFJ !,trump making money while giving governmental information is a criminal actgrifters got to griftwafj !,1
Trump said we didn't need the strait of hormuz. Why does he care about it so much?,trump said we didnt need the strait of hormuz why does he care about it so much?,1
"Iran, ok why didnt you say so ...we didnt know my bad.",iran ok why didnt you say so we didnt know my bad,1
Bye bye America🎉,bye bye america,0
Idle threats as the World descends into darkness.,idle threats as the world descends into darkness,1
More demands by the FU€¥ing tyrant.    Go Guck yourself Trump,more demands by the fuing tyrant    go guck yourself trump,2
"He shouldn't even have threatened it, he should have just done it",he shouldnt even have threatened it he should have just done it,1
This Administration is an Utter Failure… Iran Won’t listen.,this administration is an utter failure iran wont listen,1
The orange dictator commiting genocide and harm around the world needs to get stopped. The Epstein war needs to end. What happens to the war ending in 4 days? Then Trump is begging for others to join the war. 16 US aircraft hit.  There was peace before Trump.  Trump started the war. Stop it with the fake news of bringing democracy and peace when the US and Israel commit genocide in Gaza and  the US kidnapped a president,the orange dictator commiting genocide and harm around the world needs to get stopped the epstein war needs to end what happens to the war ending in 4 days? then trump is begging for others to join the war 16 us aircraft hit  there was peace before trump  trump started the war stop it with the fake news of bringing democracy and peace when the us and israel commit genocide in gaza and  the us kidnapped a president,2
Trump tanrı değilsin,trump tanrı değilsin,0
I love my daily dose of state media,,1
It's adorable that you think this is about peace,its adorable that you think this is about peace,1
lol yea keep bombing! While there focused on creating the worst economic disaster ever,lol yea keep bombing! while there focused on creating the worst economic disaster ever,2
President Donald J TRUMP do not bluff. He says what he means and he means what he says he is the best president for the job. ❤❤❤❤❤❤,,1
Impeachment for trumpett,impeachment for trumpett,0
What the hell is going on. We attacked Iran over nuclear as a cover story but the world can see this is about a shipping route and assets that do not belong to us.,what the hell is going on we attacked iran over nuclear as a cover story but the world can see this is about a shipping route and assets that do not belong to us,1
Fox entertainment helped break America…Fuc maga and,fox entertainment helped break americafuc maga and,1
Taco Tuesday 😂😂😂The worst president in history hasn't a clue. Release the Epstien files to distract from this failure.,taco tuesday the worst president in history hasnt a clue release the epstien files to distract from this failure,1
It’s not hi jacked obviously enemies can’t go through but everyone can,its not hi jacked obviously enemies cant go through but everyone can,1
BLESS TRUMP..FCK IRAN..,bless trumpfck iran,2
Ummm....why give them 48 hours? Aren't we the great and powerful America? The Iranians could stop attacking in 2 seconds.,ummmwhy give them 48 hours? arent we the great and powerful america? the iranians could stop attacking in 2 seconds,2
A problem that Trump created.,a problem that trump created,1
Good 👍,good,0
"Adolf Trump du hast geschrieben, dass du froh bist, dass Muellers Tod ist. Und ich werde froh sein, wenn du Adolf Trump, Abschaum der Menschheit, verreckt bist. Dieser sogenannte Mensch Trump ist für die Menschheit untragbar. Dieser Kerl muss weg.",adolf trump du hast geschrieben dass du froh bist dass muellers tod ist und ich werde froh sein wenn du adolf trump abschaum der menschheit verreckt bist dieser sogenannte mensch trump ist für die menschheit untragbar dieser kerl muss weg,2
The copium will hit maga soon. Just wait until everything skyrockets in price. Eventually you'll realize you've been had.,the copium will hit maga soon just wait until everything skyrockets in price eventually youll realize youve been had,1
Where is the world greatest navy at?,where is the world greatest navy at?,2
"Or what? Lol. Dumbass has no plan, clue or brain and has left us with a friggin mess.",or what? lol dumbass has no plan clue or brain and has left us with a friggin mess,2
"Heedless.Haphazard.Fickle..
Epstein attack on Iran(Epstein War).Look at the Consumer Price Index(CPI)","heedlesshaphazardfickle
epstein attack on iranepstein warlook at the consumer price indexcpi",2
😂😂😂😂😂😂😂😂 moron!,moron!,2
"YAH. That's a WAR CRIME. First of all.
Second. Congress STILL hasn't given AUTHORIZATION for ANY of this.","yah thats a war crime first of all
second congress still hasnt given authorization for any of this",1
"When they cannot get someone to capitulate no matter how much pain they have been made to endure, the lowest of the low resort to threatening innocent family members close to them.",when they cannot get someone to capitulate no matter how much pain they have been made to endure the lowest of the low resort to threatening innocent family members close to them,2
Are they serious?,are they serious?,2
شما مجبور نیستید مانند یک پناهنده زندگی کنید,شما مجبور نیستید مانند یک پناهنده زندگی کنید,2
these news anchors are bought,these news anchors are bought,1
FOX is not news. It’s state propaganda. Israel and their corrupt government pulled our dipshit president into a war. Are we great again? LMAO. This is all MAGA’s fault!!,fox is not news its state propaganda israel and their corrupt government pulled our dipshit president into a war are we great again? lmao this is all magas fault!!,1
And he is going to do it.,and he is going to do it,1
"What an absolute mess. No plan, just chaos and loss",what an absolute mess no plan just chaos and loss,1
Taco baby taco,taco baby taco,2
"Oh, he talks so strong. I love the way. He looks so orange.",oh he talks so strong i love the way he looks so orange,2
"This is literally The Three Little Pigs story in real life geopolitics.
'Little pig, little pig ,let me come in'
'Not by the hair of my chinny chin chin'
'Then I'll huff and I'll puff and I'll blow your house down!'

But the third little pig had built his house of hypersonic missiles and drones which the wolf failed to blow down.","this is literally the three little pigs story in real life geopolitics
little pig little pig let me come in
not by the hair of my chinny chin chin
then ill huff and ill puff and ill blow your house down!

but the third little pig had built his house of hypersonic missiles and drones which the wolf failed to blow down",1
"Iran, ""we do not negotiate with terrorists""",iran we do not negotiate with terrorists,2
I thought we were doing that already.,i thought we were doing that already,1
"😂😂 Trump is real idiot, he close Stait of Hormuz, 🤦🤦🤦",trump is real idiot he close stait of hormuz,1
This is not red line Obama. Play with Mr. FAFO at your own risk. MAGA,this is not red line obama play with mr fafo at your own risk maga,1
🤣 - The Orange Idiot strikes again. He's f'd it so bad he's had to lift sanctions on Iranian oil - You can't make this sht up - he's actually increasing our energy costs whilst giving money to Iran to continue the war.,the orange idiot strikes again hes fd it so bad hes had to lift sanctions on iranian oil  you cant make this sht up  hes actually increasing our energy costs whilst giving money to iran to continue the war,1
Someone is desperate 🫵😂,someone is desperate,1
The straight of Hormuz are NOT closed if you pay Iran in Chinese currency.,the straight of hormuz are not closed if you pay iran in chinese currency,2
Anything to avoid the Epstein files,anything to avoid the epstein files,1
You guys are nonsense,you guys are nonsense,2
Maga cult members are some true idiots ..... its amazing how they make excuses for everything that orange fella does,maga cult members are some true idiots  its amazing how they make excuses for everything that orange fella does,1
Hahahahahaha Demands hahaha FNAH,hahahahahaha demands hahaha fnah,0
"What a ""fing"" idiot is the president of USA!  Propaganda network!",what a fing idiot is the president of usa!  propaganda network!,2
Serabut sial kafir ni,serabut sial kafir ni,1
Bunch of Pigs 🐖,bunch of pigs,2
"Hey Trump, you phuking dumba$$, you said you ""won the war""! Why is Iran still fighting you?... because you're a phuking liar, Low IQ dipshit!",hey trump you phuking dumba you said you won the war! why is iran still fighting you? because youre a phuking liar low iq dipshit!,2
"War crimes and I am not a sympathizer or Iran, but it needed to be done right",war crimes and i am not a sympathizer or iran but it needed to be done right,1
Give Trump his oil!,give trump his oil!,1
"Oh look, scumbag sycophants.",oh look scumbag sycophants,1
I TRUST OUR PRESIDENT 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,i trust our president,1
Wait i thought the US won the war a week ago? What a clown.,wait i thought the us won the war a week ago? what a clown,1
Peace is important but not as important as billions or dollars,peace is important but not as important as billions or dollars,1
Ha. It was never about the Iranian people freedom. Attacking civilians infrastructures. War crimes.,ha it was never about the iranian people freedom attacking civilians infrastructures war crimes,1
Why does Trump care if China gets oil. He said you have your own oil,why does trump care if china gets oil he said you have your own oil,1
"""Thank you for your attention to this matter"" lmao savage, I'm here for it.",thank you for your attention to this matter lmao savage im here for it,1
What do we know about bullies?,what do we know about bullies?,2
"He's now buying oil from Iran, the opponent in the war. War's going great!",hes now buying oil from iran the opponent in the war wars going great!,1
Trump is reckless with our tax money.  Fox you are clueless to what the real people of America want. We the People never voted for this war,trump is reckless with our tax money  fox you are clueless to what the real people of america want we the people never voted for this war,2
Still no notable arrests for the Trumpstein child abuse case. No perverts in the White House.,still no notable arrests for the trumpstein child abuse case no perverts in the white house,1
"EVEN J.D VANCE DOESN'T SUPPORT PSYCHO TRUMP ANYMORE , THIS IS A WAKE UP CALL FOR ALL AMERICANS IMPEACH THAT CRAZY SOB BEFORE HE START WWIII , THE MAN IS FKG NUTS",even jd vance doesnt support psycho trump anymore  this is a wake up call for all americans impeach that crazy sob before he start wwiii  the man is fkg nuts,1
"A billion dollars a day for Mr war crimes himself, Netanyahu",a billion dollars a day for mr war crimes himself netanyahu,1
"Depending if Trump goes ahead with this. Depending on the damage, this could ruin Iran financially and take them back to trading with sheep.",depending if trump goes ahead with this depending on the damage this could ruin iran financially and take them back to trading with sheep,1
Fake news,fake news,1
"Went in because Izzy told us to....now American soliders have died. There is NO plan, there will be no regime change for the Iranian people (which was supposed to be the point in the first place), but now....we dont even know why tf we're there!! We are infiltrated by Izzy & Bibi and its absolutely DISGUSTING!!! So I guess the bombing last year was a complete LIE!!",went in because izzy told us tonow american soliders have died there is no plan there will be no regime change for the iranian people which was supposed to be the point in the first place but nowwe dont even know why tf were there!! we are infiltrated by izzy  bibi and its absolutely disgusting!!! so i guess the bombing last year was a complete lie!!,1
"With this president, the enemy needs no intel service.",with this president the enemy needs no intel service,1
"Hey Americans, it's time to finally wake up! Your lying preacher is driving the whole world crazy, and no one is seriously trying to stop this low-class blatherer. This is dangerous not only for the mullahs, but for the rest of the world as well.",hey americans its time to finally wake up! your lying preacher is driving the whole world crazy and no one is seriously trying to stop this lowclass blatherer this is dangerous not only for the mullahs but for the rest of the world as well,2
"Trump, you gave  to Iran 48 hours.😆😆😆 Let's see what happens after 4800000 hours.",trump you gave  to iran 48 hours lets see what happens after 4800000 hours,2
Don the con is a clown,don the con is a clown,1
If you are not opening the strait in 48 hours we will give another 48 hours to you to reopen😂😂😂,if you are not opening the strait in 48 hours we will give another 48 hours to you to reopen,2
The easiest target to takeout in any country is its power grid. All that is requires is a few pylon hangers here and there. But it's a two edged sword. Destroying power plants is criminal behaviour.,the easiest target to takeout in any country is its power grid all that is requires is a few pylon hangers here and there but its a two edged sword destroying power plants is criminal behaviour,1
oh no trumpy trump trump said blah blah blah.,oh no trumpy trump trump said blah blah blah,1
Buy Alberta and Saskatchewan Oil 🛢️🛢️,buy alberta and saskatchewan oil,0
"Que pena escuchar a estos comentaristas y ""analistas"" de pacotillas que desinforman más que informar la realidad de lo que realmente aconteconteces; con lo cual se auto marginan y desvaloran profesionalmente...

No vale la pena invertir tiempo escuchándolos ....","que pena escuchar a estos comentaristas y analistas de pacotillas que desinforman más que informar la realidad de lo que realmente aconteconteces con lo cual se auto marginan y desvaloran profesionalmente

no vale la pena invertir tiempo escuchándolos",1
"I demand one million dollars within 48 hours or else. See, I can make pointless demands too.",i demand one million dollars within 48 hours or else see i can make pointless demands too,2
"Attacking their nuclear power stations will cause a massive humanitarian disaster, and possible nuclear retaliation. American people are irrelevant to Trump, and considered collateral damage as he seeks to avoid accountability at all costs. American troupes too are irrelevant to him.",attacking their nuclear power stations will cause a massive humanitarian disaster and possible nuclear retaliation american people are irrelevant to trump and considered collateral damage as he seeks to avoid accountability at all costs american troupes too are irrelevant to him,2
"Americans, the stupidest people of the 21st century",americans the stupidest people of the 21st century,2
Trump should call on the Hungarian army to unblock the Strait of Hormuz,trump should call on the hungarian army to unblock the strait of hormuz,1
"Trump said he bombed Iran's entire Air Force, all missiles and all ships, yet he asks for help, what are you waiting for, you clown, help from China 🤔",trump said he bombed irans entire air force all missiles and all ships yet he asks for help what are you waiting for you clown help from china,1
"donnie also promised to release his taxes, the trump-epstein files, ...... well, you get the idea....unless, of course, you're one of his idiot followers who can't see the forest......but, I digress.....",donnie also promised to release his taxes the trumpepstein files  well you get the ideaunless of course youre one of his idiot followers who cant see the forestbut i digress,1
"Reading these posts its shocking how many have TDS.  
It's like a virus that makes you stupid.","reading these posts its shocking how many have tds  
its like a virus that makes you stupid",1
Trump is a pedoph*le,trump is a pedophle,2
How many times can you obliterate a country. What a MORON,how many times can you obliterate a country what a moron,2
GOD WINS ALWAYS 🙏🙏🙏🙏,god wins always,1
"the war machine,  monopolies will be exposed with their overpriced 90s missles",the war machine  monopolies will be exposed with their overpriced 90s missles,1
"Unfortunately, Trump doesn't realise he's dealing with Iran and Hezbollah.
Centuries of conflict.
They never give in.
Cells of followers around the world 😮
Trump,a spoilt man child has put the world at risk because he's very intelligently stupid 😮😮
That's why he's also surrounded himself with people of the same ilk 😮😮","unfortunately trump doesnt realise hes dealing with iran and hezbollah
centuries of conflict
they never give in
cells of followers around the world 
trumpa spoilt man child has put the world at risk because hes very intelligently stupid 
thats why hes also surrounded himself with people of the same ilk",1
Demands...😅,demands,0
he gave iran less sanctions,he gave iran less sanctions,1
The blonde is pretty ❤❤,the blonde is pretty,1
"Trump, the destroyer of worlds with a noble peace price...",trump the destroyer of worlds with a noble peace price,1
"president trump visits🪖🚧👷‍♂️ pennsylvania(12/9/25)💛🖤
steel valley, pa (steel mill jobs)

2025 pittsburgh steelers
⚠️def. coach mike mccarthy🙏🏻
🚧#41 peyton wilson lb 🥷109 tkls
🚧#6 patri. queen lb🏎💨120 tkls
🚧#56 highsmith lb☠️9.5 sacks
🚧#90 tj watt lb🐐
🚧#94 yahya black de🦍
🚧#99 derrick harmon dt🦍
🚧#97 cam heyward de🦍
🚧#22 asante samuel jr. cb🔓
🚧#24 joey porter jr cb🔓
🚧#5 jalen ramsey s🚚
🚧#40 jabril peppers s🚚

the pittsburgh steelers only had one losing season from 2000-2024 (03')🏈🚧","president trump visits pennsylvania12925
steel valley pa steel mill jobs

2025 pittsburgh steelers
def coach mike mccarthy
41 peyton wilson lb 109 tkls
6 patri queen lb120 tkls
56 highsmith lb95 sacks
90 tj watt lb
94 yahya black de
99 derrick harmon dt
97 cam heyward de
22 asante samuel jr cb
24 joey porter jr cb
5 jalen ramsey s
40 jabril peppers s

the pittsburgh steelers only had one losing season from 20002024 03",1
"Lmao start a war now begging like a stray lol, this wasn't Israel, this was trump trying to extend his stay, and also get away from being a rapist.......im glad Israel has his balls in a vice grip....... hope they do the same to Baron the Birthright!!!!!!",lmao start a war now begging like a stray lol this wasnt israel this was trump trying to extend his stay and also get away from being a rapistim glad israel has his balls in a vice grip hope they do the same to baron the birthright!!!!!!,1
I think I saw  the puppeteers (Trump) hands working those newscaster marionettes !,i think i saw  the puppeteers trump hands working those newscaster marionettes !,1
"Trump is a Draft dodger, child rapist piece of 💩",trump is a draft dodger child rapist piece of,2
"Yesterday winning, today winning , tommorow winning.. 😂",yesterday winning today winning  tommorow winning,1
I thought we already won.,i thought we already won,1
LOL. YOU PEOPLE ARE A JOKE!,lol you people are a joke!,1
"""It's All About The Peace"" Says Jason Chaffetz

Yeah, I Can Feel The Peace Oozing Everywhere.","its all about the peace says jason chaffetz

yeah i can feel the peace oozing everywhere",1
Trump has failed to understand their psychology and mindset.,trump has failed to understand their psychology and mindset,1
"So if he says Iran is obliterated, no Air Force, no Navy, most military leaders taken out then why is the straight closed? Why does he ask Iran to open the straight when they have no effective military?",so if he says iran is obliterated no air force no navy most military leaders taken out then why is the straight closed? why does he ask iran to open the straight when they have no effective military?,1
Open sez me! Idiot trumpholio! Dumfuks on fux news!,open sez me! idiot trumpholio! dumfuks on fux news!,2
